Time,Gyro_p1_01,Rotation_pA_01,Rotation_pB_01
0,0,0,0
0.1,0,0.025,0.011
0.2,0.167,0.097,0.047
0.3,0.833,0.183,0.094
0.4,1.333,0.272,0.139
0.5,2,0.356,0.181
0.6,2.5,0.444,0.225
0.7,3,0.525,0.264
0.8,3.5,0.611,0.308
0.9,4.167,0.694,0.35
1,4.667,0.781,0.392
1.1,5.333,0.869,0.436
1.2,5.833,0.95,0.475
1.3,6.333,1.036,0.519
1.4,6.833,1.125,0.561
1.5,7.5,1.206,0.603
1.6,8,1.292,0.644
1.7,8.5,1.375,0.689
1.8,9,1.458,0.731
1.9,9.667,1.539,0.772
2,10.167,1.622,0.814
2.1,10.667,1.708,0.856
2.2,11.167,1.792,0.897
2.3,11.833,1.881,0.942
2.4,12.167,1.964,0.983
2.5,12.667,2.047,1.025
2.6,13.333,2.136,1.069
2.7,13.833,2.217,1.108
2.8,14.333,2.303,1.153
2.9,14.833,2.386,1.197
3,15.333,2.472,1.239
3.1,16,2.553,1.281
3.2,16.667,2.636,1.319
3.3,17.167,2.725,1.364
3.4,17.667,2.808,1.403
3.5,18.333,2.894,1.447
3.6,18.833,2.978,1.489
3.7,19.333,3.061,1.531
3.8,19.833,3.15,1.575
3.9,20.5,3.236,1.617
4,21,3.319,1.658
4.1,21.5,3.403,1.703
4.2,22,3.483,1.744
4.3,22.667,3.564,1.783
4.4,23.167,3.65,1.825
4.5,23.833,3.733,1.867
4.6,24.333,3.819,1.908
4.7,24.833,3.908,1.953
4.8,25.333,3.989,1.994
4.9,25.833,4.075,2.039
5,26.5,4.158,2.081
5.1,27,4.244,2.125
5.2,27.5,4.331,2.167
5.3,28.167,4.414,2.208
5.4,28.667,4.497,2.253
5.5,29.167,4.581,2.294
5.6,29.833,4.667,2.333
5.7,30.333,4.75,2.375
5.8,30.833,4.836,2.417
5.9,31.5,4.919,2.461
6,31.833,5.003,2.503
6.1,32.5,5.089,2.544
6.2,33,5.175,2.586
6.3,33.667,5.258,2.631
6.4,34.167,5.342,2.672
6.5,34.833,5.425,2.714
6.6,35.333,5.511,2.758
6.7,36,5.594,2.797
6.8,36.667,5.678,2.839
6.9,37.333,5.767,2.883
7,37.833,5.85,2.925
7.1,38.5,5.933,2.969
7.2,39,6.017,3.008
7.3,39.5,6.103,3.053
7.4,40,6.189,3.094
7.5,40.667,6.275,3.139
7.6,41.167,6.361,3.181
7.7,41.667,6.444,3.225
7.8,42.333,6.528,3.267
7.9,42.833,6.611,3.308
8,43.333,6.694,3.35
8.1,43.833,6.783,3.392
8.2,44.5,6.867,3.433
8.3,45,6.95,3.475
8.4,45.5,7.036,3.519
8.5,46,7.122,3.561
8.6,46.667,7.206,3.603
8.7,47.167,7.292,3.647
8.8,47.667,7.375,3.689
8.9,48.167,7.458,3.731
9,48.833,7.542,3.772
9.1,49.333,7.625,3.814
9.2,49.833,7.708,3.856
9.3,50.333,7.794,3.897
9.4,51,7.878,3.939
9.5,51.5,7.964,3.983
9.6,52,8.05,4.025
9.7,52.5,8.136,4.069
9.8,53.167,8.219,4.111
9.9,53.667,8.308,4.156
10,54.167,8.389,4.197
10.1,54.667,8.472,4.239
10.2,55.167,8.556,4.281
10.3,55.667,8.639,4.322
10.4,56.333,8.725,4.364
10.5,56.833,8.811,4.406
10.6,57.333,8.894,4.447
10.7,58,8.983,4.492
10.8,58.5,9.069,4.533
10.9,59.167,9.156,4.578
11,59.5,9.236,4.619
11.1,60.167,9.319,4.661
11.2,60.667,9.403,4.703
11.3,61.167,9.486,4.744
11.4,61.667,9.569,4.786
11.5,62.333,9.653,4.828
11.6,62.833,9.739,4.872
11.7,63.333,9.828,4.914
11.8,64,9.908,4.953
11.9,64.5,9.986,4.992
12,64.667,10.019,5.028
12.1,64.333,10.047,5.092
12.2,63.667,10.083,5.175
12.3,63,10.125,5.258
12.4,62.333,10.167,5.347
12.5,61.833,10.208,5.431
12.6,61.333,10.253,5.514
12.7,60.833,10.294,5.592
12.8,60.167,10.336,5.675
12.9,59.833,10.381,5.758
13,59.167,10.422,5.842
13.1,58.667,10.461,5.925
13.2,58,10.506,6.011
13.3,57.5,10.544,6.092
13.4,56.833,10.589,6.178
13.5,56.333,10.631,6.264
13.6,55.667,10.675,6.35
13.7,55.167,10.719,6.436
